player_id,item_name,similarity_score,rank
96,Sniper Elite,0.4861,2
96,Zombie Survivor,0.4054,3
96,Shadow Ninja,0.4052,4
96,Ocean Pirate,0.4048,5
97,Mech Suit,0.516,1
97,Golden Warrior,0.514,2
97,Arctic Ghost,0.5048,3
97,Parachute Flames,0.4642,4
97,Pistol Flare Gun,0.4204,5
98,Chicken Dinner,0.6575,1
98,Parachute Galaxy,0.5083,2
98,Golden Warrior,0.5016,3
98,Mech Suit,0.4989,4
98,Pistol Flare Gun,0.3567,5
99,Parachute 500m,0.5,1
99,Fire Dancer,0.4999,2
99,Cyber Punk,0.4997,3
99,Desert Camo,0.4952,4
99,Explore All Map Zones,0.4943,5
100,Desert Camo,0.4194,1
100,Cyber Punk,0.3908,2
100,Fire Dancer,0.3905,3
100,Neon Striker,0.39,4
100,Shadow Ninja,0.387,5
